"LISCENCEEXP","GENDER","DRIVINGEXPIRIENCE","BIRTHDAY","NAME","ID"
"29/05/2044","FEMALE","3","23/12/1987","Nigel Macy          ","36943816"
"18/04/2059","MALE  ","49","13/11/1963","Treat Holliday      ","84868332"
"29/11/2044","FEMALE","31","13/08/1993","Mary-Louise Cruz    ","87931764"
"18/02/2036","MALE  ","35","25/05/1982","Amy Linney          ","90461900"
"28/01/2042","MALE  ","18","19/05/1964","Emerson Durning     ","92847212"
"04/08/2043","FEMALE","25","30/11/1973","Steven MacLachlan   ","31978448"
"25/04/2049","FEMALE","24","27/04/1976","Johnnie Whitmore    ","41536047"
"14/12/2058","MALE  ","8","14/11/1987","Elijah Bacharach    ","25438967"
"03/02/2057","MALE  ","40","04/10/1960","Rufus Stewart       ","67068322"
"15/10/2043","MALE  ","45","08/11/1960","Andrae Callow       ","64209081"
"12/09/2047","MALE  ","43","14/10/1961","David Himmelman     ","36153643"
"21/09/2048","FEMALE","48","21/05/1997","Ice Rispoli         ","16646335"
"03/07/2028","FEMALE","31","17/01/1982","Lindsay Affleck     ","8747527"
"11/10/2024","FEMALE","30","18/06/1972","Geena Winslet       ","67419652"
"30/10/2060","MALE  ","41","17/02/1990","Thora Kidman        ","16421495"
"30/03/2047","FEMALE","37","01/02/1989","Brooke Neuwirth     ","11399913"
"11/08/2033","MALE  ","46","12/01/2003","Ann Berkoff         ","75573562"
"15/11/2032","MALE  ","8","04/10/1987","Shawn McGill        ","26696338"
"18/07/2057","MALE  ","24","26/11/1994","Val Cale            ","71965936"
"22/11/2059","FEMALE","24","29/11/2004","Dick Santana        ","96870420"
"26/03/2022","MALE  ","2","28/03/1963","Heather Lopez       ","33643141"
"18/06/2022","MALE  ","19","21/02/1980","Edwin Whitmore      ","2847440"
"03/02/2038","FEMALE","3","20/12/2002","Alannah Bullock     ","6256461"
"24/04/2036","MALE  ","20","20/07/1993","Shirley Slater      ","93815080"
"27/02/2031","FEMALE","27","05/04/2000","Julianna Vanian     ","64449473"
"29/07/2047","FEMALE","9","08/02/1960","Thin Lawrence       ","54699523"
"24/10/2050","FEMALE","7","03/03/1978","Joy Carr            ","91494628"
"23/11/2057","FEMALE","15","01/07/1962","Ricky Charles       ","46891337"
"15/12/2040","MALE  ","10","01/07/1976","Jackson Pleasence   ","43062201"
"11/04/2046","MALE  ","26","17/06/1969","Tamala Khan         ","90006842"
"03/08/2030","MALE  ","45","08/04/1979","Steve Sandler       ","36100645"
"22/10/2042","FEMALE","24","19/12/1979","Stewart Kotto       ","6865110"
"17/12/2050","MALE  ","27","29/06/1987","Humberto Osbourne   ","76561235"
"20/07/2054","FEMALE","34","23/07/1964","Sally Coe           ","52786547"
"04/05/2059","MALE  ","30","03/05/1980","Nicholas Carlisle   ","16360088"
"22/02/2044","MALE  ","6","16/10/1992","Frederic Pleasence  ","25026077"
"24/01/2022","FEMALE","46","31/10/1963","Jeroen Pride        ","16787002"
"04/02/2058","FEMALE","15","01/07/1997","Corey Atlas         ","79892163"
"12/07/2059","FEMALE","36","13/02/2001","Roddy Love          ","48793289"
"25/06/2042","FEMALE","13","28/02/1990","Jamie Goldberg      ","5122489"
"09/09/2048","MALE  ","14","01/12/1985","France Branch       ","86469587"
"20/03/2026","MALE  ","12","01/10/1965","Liev Costello       ","84637868"
"01/06/2047","FEMALE","50","11/07/1964","Glenn Lavigne       ","4809880"
"26/11/2054","MALE  ","2","07/04/1996","Vonda Downie        ","83128012"
"06/01/2039","MALE  ","42","07/06/1998","France Danes        ","82799301"
"18/09/2057","MALE  ","16","10/03/1960","CeCe De Niro        ","50286032"
"18/07/2054","FEMALE","36","09/10/1997","Pelvic Hamilton     ","94210986"
"02/04/2027","MALE  ","25","14/09/1984","Trace Paymer        ","30153112"
"05/05/2025","FEMALE","36","05/11/1968","Gina Branch         ","47501135"
"01/07/2032","MALE  ","49","02/01/1999","Elle Daniels        ","41210555"
"16/09/2044","MALE  ","2","17/05/1973","Carol Aiken         ","69101582"
"14/03/2039","FEMALE","20","09/10/2002","Arnold LaSalle      ","98813452"
"14/03/2052","MALE  ","38","08/11/1981","Aaron Newton        ","17475633"
"28/03/2044","FEMALE","46","15/06/1970","Stevie Cube         ","64548472"
"05/05/2046","MALE  ","27","18/06/1995","Kathleen Cruise     ","24775499"
"04/06/2035","MALE  ","41","26/05/1977","Reese Field         ","58367844"
"20/07/2042","FEMALE","20","05/01/2003","Mary-Louise Kier    ","95068666"
"08/05/2052","MALE  ","46","02/12/1974","Christina Reno      ","40152352"
"16/02/2028","FEMALE","8","06/08/1960","Goran Coburn        ","99135592"
"23/11/2060","MALE  ","14","20/12/1973","Kazem Portman       ","88938209"
"17/03/2052","FEMALE","21","01/07/1976","Ronnie Aykroyd      ","2032618"
"24/02/2048","MALE  ","35","30/03/1980","Millie Diggs        ","61655963"
"02/04/2030","MALE  ","39","30/08/1967","Josh Gough          ","97211565"
"23/02/2038","MALE  ","45","28/08/1988","Armand Crudup       ","30124086"
"30/04/2045","FEMALE","33","11/04/1967","Mia Berry           ","6241465"
"18/11/2050","MALE  ","15","31/10/1969","Zooey Young         ","56465737"
"06/08/2059","FEMALE","45","21/11/2004","Emilio Marley       ","92337943"
"23/12/2044","FEMALE","40","21/08/1976","Ramsey Wainwright   ","4324160"
"24/07/2049","MALE  ","50","09/07/1977","Lenny Weber         ","35222278"
"20/01/2039","FEMALE","16","08/06/1980","Josh Hingle         ","77490499"
"08/10/2046","MALE  ","29","06/09/1975","Terri Bacon         ","80554715"
"02/01/2033","MALE  ","28","27/09/2001","Susan Soul          ","60077331"
"06/04/2038","FEMALE","33","12/09/1998","Rhys Chaplin        ","15565619"
"20/03/2049","FEMALE","17","02/03/1990","Keith Ribisi        ","84421989"
"25/10/2055","MALE  ","24","25/03/1986","Sara Unger          ","89793116"
"28/12/2042","MALE  ","23","14/11/1990","Tara Pollak         ","5735808"
"05/11/2027","MALE  ","3","25/01/1998","Rebecca Tyler       ","2277349"
"21/02/2060","FEMALE","38","13/08/1996","Mindy Dillon        ","97378658"
"27/12/2049","MALE  ","19","22/08/2001","Renee Lipnicki      ","70409082"
"30/10/2032","MALE  ","21","18/11/1967","Alessandro Turner   ","28782733"
"16/02/2030","MALE  ","47","01/01/1964","Sara Coolidge       ","87134337"
"16/01/2031","FEMALE","24","23/08/1992","Luis Kotto          ","30725250"
"28/11/2047","FEMALE","46","16/07/1966","Bret Webb           ","18626850"
"14/09/2042","FEMALE","43","07/02/1997","Boyd Hawn           ","21106845"
"26/04/2055","FEMALE","49","10/12/1961","Charles Wilson      ","106590"
"20/04/2043","FEMALE","39","21/09/1972","Elisabeth Malone    ","39880659"
"01/01/2032","MALE  ","27","04/11/1979","Charlize Dooley     ","9455217"
"11/09/2027","FEMALE","34","13/04/1998","Lucy Nelligan       ","55546665"
"13/12/2058","FEMALE","16","15/05/1980","Miriam Tilly        ","42908261"
"26/10/2036","MALE  ","29","15/05/1976","France Duschel      ","38926580"
"15/01/2034","MALE  ","43","26/09/1986","Brenda Briscoe      ","40638957"
"09/12/2023","MALE  ","36","02/02/1974","Hazel Baldwin       ","84016717"
"07/12/2047","FEMALE","11","02/08/2001","Rosanna Plimpton    ","18740098"
"14/12/2045","FEMALE","35","01/08/2002","Cledus DeLuise      ","71829424"
"18/03/2052","MALE  ","12","26/06/1980","Christine Mitra     ","14207896"
"28/01/2037","FEMALE","27","29/12/1960","Jane Rains          ","52528283"
"06/07/2024","MALE  ","35","05/09/1961","Roger O'Donnell     ","47285772"
"12/09/2055","FEMALE","40","19/10/1962","Nicholas Wilder     ","45088031"
"17/12/2048","FEMALE","46","21/02/1970","Jeffery Winslet     ","7186136"
"02/08/2026","MALE  ","19","02/09/1991","Regina Spacey       ","53417184"
"23/10/2041","MALE  ","41","01/07/1965","Tamala LaPaglia     ","79024623"
"16/07/2051","MALE  ","28","21/04/1989","Brittany Carnes     ","54619647"
"12/08/2054","MALE  ","13","10/10/1993","Maggie Parish       ","8023940"
"29/03/2057","FEMALE","21","24/08/2000","Jared Sorvino       ","60091091"
"11/04/2030","MALE  ","6","14/01/1984","Elisabeth Brown     ","47923313"
"16/02/2027","MALE  ","29","01/08/2001","Jody Holm           ","64696700"
"26/06/2060","MALE  ","28","14/04/1962","Freda Sarandon      ","20314778"
"28/10/2035","MALE  ","9","24/06/1984","Nanci Colon         ","14608881"
"19/02/2039","MALE  ","40","19/12/1974","Victor Burton       ","26568877"
"25/09/2035","FEMALE","29","27/07/1974","Howie Baranski      ","21746847"
"25/12/2057","FEMALE","49","30/05/2004","Victor Moss         ","60360020"
"13/10/2059","MALE  ","3","31/01/2003","Johnny Moody        ","63404500"
"06/10/2025","FEMALE","29","06/10/1998","Faye Conroy         ","72805692"
"15/02/2030","FEMALE","44","10/04/1972","Geoff McLean        ","10828800"
"01/12/2043","FEMALE","26","20/01/1971","Chaka Hewett        ","143791"
"04/07/2035","MALE  ","39","03/07/1988","Larry Banderas      ","61467883"
"03/07/2051","FEMALE","35","21/03/1960","Marc McLean         ","81938844"
"21/04/2025","FEMALE","41","07/10/1987","Matthew Pressly     ","87596439"
"06/01/2056","MALE  ","17","07/06/1988","Bobby Blackmore     ","32280477"
